Model,Block 1 Accuracy,Block 2 Accuracy,Block 3 Accuracy
Llama-3.1-8B-Instruct,0.235159817351598,0.214057507987221,0.149532710280374
Qwen2.5-14B-Instruct-1M,0.383561643835616,0.34185303514377,0.275700934579439
Qwen2.5-Coder-7B-Instruct,0.36986301369863,0.31629392971246,0.219626168224299
DeepSeek-Coder-V2-Lite-Instruct,0.333333333333333,0.29073482428115,0.233644859813084
Phi-4-mini-instruct,0.273972602739726,0.274760383386581,0.154205607476636
Phi-3.5-mini-instruct,0.253424657534247,0.214057507987221,0.182242990654206
granite-3.2-8b-instruct,0.0114155251141553,0.0223642172523962,0.014018691588785
DeepSeek-R1-Distill-Qwen-7B,0.139269406392694,0.162939297124601,0.126168224299065
DeepSeek-R1-Distill-Llama-8B,0.159817351598174,0.210862619808307,0.168224299065421
DeepSeek-R1-Distill-Qwen-14B,0.349315068493151,0.345047923322684,0.242990654205608
granite-3.2-8b-instruct-preview,0.0114155251141553,0.0191693290734824,0.00934579439252336
gpt-4o-mini,0.4,0.5,0.2
anthropic.claude-3-5-sonnet-20241022-v2:0,0.5,0.5,0.2
gemini-1.5-flash-002,0.4,0.45,0.15
