Rank,Model,accuracy
1,anthropic.claude-3-5-sonnet-20241022-v2:0,0.665
2,gemini-1.5-flash-002,0.6
3,gpt-4o-mini,0.6
4,Qwen2.5-14B-Instruct-1M,0.444036697
5,DeepSeek-R1-Distill-Qwen-14B,0.420183486
6,Qwen2.5-Coder-7B-Instruct,0.383486239
7,Llama-3.1-8B-Instruct,0.328440367
8,Phi-4-mini-instruct,0.299082569
9,DeepSeek-R1-Distill-Llama-8B,0.273394495
10,DeepSeek-Coder-V2-Lite-Instruct,0.267889908
11,DeepSeek-R1-Distill-Qwen-7B,0.264220183
12,Phi-3.5-mini-instruct,0.262385321
13,granite-3.2-8b-instruct-preview,0.211009174
14,granite-3.2-8b-instruct,0.20733945
