Model,Alias accuracy
anthropic.claude-3-5-sonnet-20241022-v2:0,0.816326530612245
DeepSeek-Coder-V2-Lite-Instruct,0.387755102040816
DeepSeek-R1-Distill-Llama-8B,0.693877551020408
DeepSeek-R1-Distill-Qwen-14B,0.836734693877551
DeepSeek-R1-Distill-Qwen-7B,0.73469387755102
gemini-1.5-flash-002,0.816326530612245
gpt-4o-mini,0.816326530612245
granite-3.2-8b-instruct,0.775510204081633
granite-3.2-8b-instruct-preview,0.775510204081633
Llama-3.1-8B-Instruct,0.73469387755102
Phi-3.5-mini-instruct,0.653061224489796
Phi-4-mini-instruct,0.63265306122449
Qwen2.5-14B-Instruct-1M,0.775510204081633
Qwen2.5-Coder-7B-Instruct,0.612244897959184
