Model,Stmt Accuracy Python,Stmt Accuracy C,Block 1 Accuracy Python,Block 2 Accuracy Python,Block 3 Accuracy Python,Block 1 Accuracy C,Block 2 Accuracy C,Block 3 Accuracy C,Alias accuracy,Branch Prediction,iteration,In-Loop,post-loop,Python Output,C Output,Java Output,Python Input,C Input,Java Input
anthropic.claude-3-5-sonnet-20241022-v2:0,0.665,0.486338797814208,0.5,0.5,0.2,0.275,0.25,0.1,0.816326530612245,0.785407725321888,0.6,0.373831775700935,0.428571428571428,0.405,0.0752688172043011,0.256756756756757,0.09,0.150537634408602,0.256756756756757
DeepSeek-Coder-V2-Lite-Instruct,0.267889908,0.393574297188755,0.333333333333333,0.29073482428115,0.233644859813084,0.192307692307692,0.16,0.133333333333333,0.387755102040816,0.236051502145923,0.371428571428571,0.196261682242991,0.107142857142857,0.243506493506494,0.150537634408602,0.283783783783784,0.051948051948052,0.0967741935483871,0.216216216216216
DeepSeek-R1-Distill-Llama-8B,0.273394495,0.379518072289157,0.159817351598174,0.210862619808307,0.168224299065421,0.153846153846154,0.14,0.166666666666667,0.693877551020408,0.55793991416309,0.380952380952381,0.252336448598131,0.25,0.220779220779221,0.129032258064516,0.202702702702703,0.0551948051948052,0.0860215053763441,0.162162162162162
DeepSeek-R1-Distill-Qwen-14B,0.420183486,0.538152610441767,0.349315068493151,0.345047923322684,0.242990654205608,0.192307692307692,0.22,0.15,0.836734693877551,0.71244635193133,0.571428571428571,0.308411214953271,0.285714285714286,0.366883116883117,0.129032258064516,0.297297297297297,0.0844155844155844,0.129032258064516,0.22972972972973
DeepSeek-R1-Distill-Qwen-7B,0.264220183,0.467871485943775,0.139269406392694,0.162939297124601,0.126168224299065,0.153846153846154,0.16,0.15,0.73469387755102,0.463519313304721,0.514285714285714,0.158878504672897,0.321428571428572,0.201298701298701,0.0967741935483871,0.243243243243243,0.0422077922077922,0.139784946236559,0.162162162162162
gemini-1.5-flash-002,0.6,0.483695652173913,0.4,0.45,0.15,0.125,0.225,0.125,0.816326530612245,0.729613733905579,0.333333333333333,0.261682242990654,0.25,0.355,0.150537634408602,0.324324324324324,0.075,0.0430107526881721,0.216216216216216
gpt-4o-mini,0.6,0.448087431693989,0.4,0.5,0.2,0.225,0.25,0.175,0.816326530612245,0.772532188841202,0.552380952380952,0.289719626168224,0.214285714285714,0.381,0.0978260869565217,0.27027027027027,0.075,0.172043010752688,0.27027027027027
granite-3.2-8b-instruct,0.20733945,0.232931726907631,0.0114155251141553,0.0223642172523962,0.014018691588785,0.0,0.02,0.0,0.775510204081633,0.742489270386266,0.0,0.0186915887850467,0.0714285714285714,0.0162337662337662,0.0,0.027027027027027,0.0,0.0,0.0405405405405405
granite-3.2-8b-instruct-preview,0.211009174,0.271084337349398,0.0114155251141553,0.0191693290734824,0.0093457943925233,0.0,0.02,0.0166666666666667,0.775510204081633,0.746781115879828,0.0,0.0186915887850467,0.0357142857142857,0.025974025974026,0.0,0.027027027027027,0.0,0.0,0.0540540540540541
Llama-3.1-8B-Instruct,0.328440367,0.469879518072289,0.235159817351598,0.214057507987221,0.149532710280374,0.153846153846154,0.18,0.116666666666667,0.73469387755102,0.579399141630901,0.104761904761905,0.11214953271028,0.142857142857143,0.12987012987013,0.139784946236559,0.175675675675676,0.0227272727272727,0.0860215053763441,0.175675675675676
Phi-3.5-mini-instruct,0.262385321,0.381526104417671,0.253424657534247,0.214057507987221,0.182242990654206,0.134615384615385,0.2,0.1,0.653061224489796,0.321888412017167,0.114285714285714,0.0747663551401869,0.107142857142857,0.149350649350649,0.129032258064516,0.27027027027027,0.025974025974026,0.053763440860215,0.175675675675676
Phi-4-mini-instruct,0.299082569,0.552208835341365,0.273972602739726,0.274760383386581,0.154205607476636,0.153846153846154,0.22,0.166666666666667,0.63265306122449,0.278969957081545,0.266666666666667,0.177570093457944,0.107142857142857,0.24025974025974,0.139784946236559,0.216216216216216,0.0422077922077922,0.0860215053763441,0.189189189189189
Qwen2.5-14B-Instruct-1M,0.444036697,0.483935742971888,0.383561643835616,0.34185303514377,0.275700934579439,0.192307692307692,0.2,0.15,0.775510204081633,0.785407725321888,0.495238095238095,0.308411214953271,0.178571428571429,0.269480519480519,0.0967741935483871,0.27027027027027,0.0746753246753247,0.0645161290322581,0.202702702702703
Qwen2.5-Coder-7B-Instruct,0.383486239,0.373493975903614,0.36986301369863,0.31629392971246,0.219626168224299,0.192307692307692,0.22,0.183333333333333,0.612244897959184,0.244635193133047,0.266666666666667,0.177570093457944,0.178571428571429,0.292207792207792,0.182795698924731,0.310810810810811,0.0487012987012987,0.182795698924731,0.256756756756757
