Model,Branch Prediction
anthropic.claude-3-5-sonnet-20241022-v2:0,0.785407725321888
DeepSeek-Coder-V2-Lite-Instruct,0.236051502145923
DeepSeek-R1-Distill-Llama-8B,0.55793991416309
DeepSeek-R1-Distill-Qwen-14B,0.71244635193133
DeepSeek-R1-Distill-Qwen-7B,0.463519313304721
gemini-1.5-flash-002,0.729613733905579
gpt-4o-mini,0.772532188841202
granite-3.2-8b-instruct,0.742489270386266
granite-3.2-8b-instruct-preview,0.746781115879828
Llama-3.1-8B-Instruct,0.579399141630901
Phi-3.5-mini-instruct,0.321888412017167
Phi-4-mini-instruct,0.278969957081545
Qwen2.5-14B-Instruct-1M,0.785407725321888
Qwen2.5-Coder-7B-Instruct,0.244635193133047
