Model,Python,C,Java
anthropic.claude-3-5-sonnet-20241022-v2:0,0.09,0.150537634408602,0.256756756756757
DeepSeek-Coder-V2-Lite-Instruct,0.051948051948052,0.0967741935483871,0.216216216216216
DeepSeek-R1-Distill-Llama-8B,0.0551948051948052,0.0860215053763441,0.162162162162162
DeepSeek-R1-Distill-Qwen-14B,0.0844155844155844,0.129032258064516,0.22972972972973
DeepSeek-R1-Distill-Qwen-7B,0.0422077922077922,0.139784946236559,0.162162162162162
gemini-1.5-flash-002,0.075,0.0430107526881721,0.216216216216216
gpt-4o-mini,0.075,0.172043010752688,0.27027027027027
granite-3.2-8b-instruct,0.0,0.0,0.0405405405405405
granite-3.2-8b-instruct-preview,0.0,0.0,0.0540540540540541
Llama-3.1-8B-Instruct,0.0227272727272727,0.0860215053763441,0.175675675675676
Phi-3.5-mini-instruct,0.025974025974026,0.053763440860215,0.175675675675676
Phi-4-mini-instruct,0.0422077922077922,0.0860215053763441,0.189189189189189
Qwen2.5-14B-Instruct-1M,0.0746753246753247,0.0645161290322581,0.202702702702703
Qwen2.5-Coder-7B-Instruct,0.0487012987012987,0.182795698924731,0.256756756756757
