Model,iteration,In-Loop,post-loop
DeepSeek-Coder-V2-Lite-Instruct,0.371428571428571,0.196261682242991,0.107142857142857
DeepSeek-R1-Distill-Llama-8B,0.380952380952381,0.252336448598131,0.25
DeepSeek-R1-Distill-Qwen-14B,0.571428571428571,0.308411214953271,0.285714285714286
DeepSeek-R1-Distill-Qwen-7B,0.514285714285714,0.158878504672897,0.321428571428572
Llama-3.1-8B-Instruct,0.104761904761905,0.11214953271028,0.142857142857143
Phi-3.5-mini-instruct,0.114285714285714,0.0747663551401869,0.107142857142857
Phi-4-mini-instruct,0.266666666666667,0.177570093457944,0.107142857142857
Qwen2.5-14B-Instruct-1M,0.495238095238095,0.308411214953271,0.178571428571429
Qwen2.5-Coder-7B-Instruct,0.266666666666667,0.177570093457944,0.178571428571429
anthropic.claude-3-5-sonnet-20241022-v2:0,0.6,0.373831775700935,0.428571428571428
gemini-1.5-flash-002,0.333333333333333,0.261682242990654,0.25
gpt-4o-mini,0.552380952380952,0.289719626168224,0.214285714285714
granite-3.2-8b-instruct,0.0,0.0186915887850467,0.0714285714285714
granite-3.2-8b-instruct-preview,0.0,0.0186915887850467,0.0357142857142857
