Model,Python,C,Java
anthropic.claude-3-5-sonnet-20241022-v2:0,0.405,0.0752688172043011,0.256756756756757
DeepSeek-Coder-V2-Lite-Instruct,0.243506493506494,0.150537634408602,0.283783783783784
DeepSeek-R1-Distill-Llama-8B,0.220779220779221,0.129032258064516,0.202702702702703
DeepSeek-R1-Distill-Qwen-14B,0.366883116883117,0.129032258064516,0.297297297297297
DeepSeek-R1-Distill-Qwen-7B,0.201298701298701,0.0967741935483871,0.243243243243243
gemini-1.5-flash-002,0.355,0.150537634408602,0.324324324324324
gpt-4o-mini,0.381,0.0978260869565217,0.27027027027027
granite-3.2-8b-instruct,0.0162337662337662,0.0,0.027027027027027
granite-3.2-8b-instruct-preview,0.025974025974026,0.0,0.027027027027027
Llama-3.1-8B-Instruct,0.12987012987013,0.139784946236559,0.175675675675676
Phi-3.5-mini-instruct,0.149350649350649,0.129032258064516,0.27027027027027
Phi-4-mini-instruct,0.24025974025974,0.139784946236559,0.216216216216216
Qwen2.5-14B-Instruct-1M,0.269480519480519,0.0967741935483871,0.27027027027027
Qwen2.5-Coder-7B-Instruct,0.292207792207792,0.182795698924731,0.310810810810811
